FundShareClass_Id|_Id|InvestmentVehicle_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|F000000M03|1|2014-06-10|62903
2|F000000MAH|2|2014-06-10|62903
3|F000000MK9|3|2014-06-10|62903
4|F000000MT7|4|2014-06-10|62903
5|F000000MZX|5|2014-06-10|62903
6|F000000N51|6|2014-06-10|62903
7|F000000NA6|7|2014-06-10|62903
8|F000000NF4|8|2014-06-10|62903
9|F000000NIJ|9|2014-06-10|62903
10|F000000NKW|10|2014-06-10|62903
11|F000000NNM|11|2014-06-10|62903
12|F000000NQ4|12|2014-06-10|62903
13|F000001WS8|13|2014-06-10|62903
14|F000001WUL|14|2014-06-10|62903
15|F000001WX4|15|2014-06-10|62903
16|F0000022LY|16|2014-06-10|62903
17|F0000025IZ|17|2014-06-10|62903
18|F0000028LI|18|2014-06-10|62903
19|F000002J9X|19|2014-06-10|62903
20|F000002MLV|20|2014-06-10|62903
21|F000002QPO|21|2014-06-10|62903
22|F000003TLT|22|2014-06-10|62903
23|F000003Y95|23|2014-06-10|62903
24|F000003YMB|24|2014-06-10|62903
25|F0000040SX|25|2014-06-10|62903
26|F0000044IB|26|2014-06-10|62903
27|F000005F2E|27|2014-06-10|62903
28|F000005HFU|28|2014-06-10|62903
29|F000005IY1|29|2014-06-10|62903
30|F000005KCV|30|2014-06-10|62903
31|F000005QK6|31|2014-06-10|62903
32|F00000GVUZ|32|2014-06-10|62903
33|F00000GYH5|33|2014-06-10|62903
34|F00000H4U9|34|2014-06-10|62903
35|F00000H68U|35|2014-06-10|62903
36|F00000HH2E|36|2014-06-10|62903
37|F00000IS1I|37|2014-06-10|62903
38|F00000J3O0|38|2014-06-10|62903
39|F00000J7GY|39|2014-06-10|62903
40|F00000J8E9|40|2014-06-10|62903
41|F00000JNFF|41|2014-06-10|62903
42|F00000JQ8U|42|2014-06-10|62903
43|F00000JSF3|43|2014-06-10|62903
44|F00000JTSB|44|2014-06-10|62903
45|F00000JWDH|45|2014-06-10|62903
46|F00000JYL2|46|2014-06-10|62903
47|F00000LI61|47|2014-06-10|62903
48|F00000LKJK|48|2014-06-10|62903
49|F00000LL2A|49|2014-06-10|62903
50|F00000LNP4|50|2014-06-10|62903
51|F000000LVH|51|2014-06-10|62903
52|F000000LVN|52|2014-06-10|62903
53|F000000LVT|53|2014-06-10|62903
54|F000000LW0|54|2014-06-10|62903
55|F000000LW6|55|2014-06-10|62903
56|F000000LWC|56|2014-06-10|62903
57|F000000LWG|57|2014-06-10|62903
58|F000000LWL|58|2014-06-10|62903
59|F000000LWV|59|2014-06-10|62903
60|F000000LX0|60|2014-06-10|62903
61|F000000LX5|61|2014-06-10|62903
62|F000000LX9|62|2014-06-10|62903
63|F000000LXG|63|2014-06-10|62903
64|F000000LXK|64|2014-06-10|62903
65|F000000LXO|65|2014-06-10|62903
66|F000000LXW|66|2014-06-10|62903
67|F000000LY0|67|2014-06-10|62903
68|F000000LY4|68|2014-06-10|62903
69|F000000LY8|69|2014-06-10|62903
70|F000000LYC|70|2014-06-10|62903
71|F000000LYH|71|2014-06-10|62903
72|F000000LYL|72|2014-06-10|62903
73|F000000LYR|73|2014-06-10|62903
74|F000000LZ0|74|2014-06-10|62903
75|F000000LZ5|75|2014-06-10|62903
76|F000000LZ9|76|2014-06-10|62903
77|F000000LZD|77|2014-06-10|62903
78|F000000LZI|78|2014-06-10|62903
79|F000000LZM|79|2014-06-10|62903
80|F000000LZQ|80|2014-06-10|62903
81|F000000LZV|81|2014-06-10|62903
82|F000000M01|82|2014-06-10|62903
83|F000000M05|83|2014-06-10|62903
84|F000000M09|84|2014-06-10|62903
85|F000000M0D|85|2014-06-10|62903
86|F000000M0N|86|2014-06-10|62903
87|F000000M0R|87|2014-06-10|62903
88|F000000M0X|88|2014-06-10|62903
89|F000000M11|89|2014-06-10|62903
90|F000000M16|90|2014-06-10|62903
91|F000000M1E|91|2014-06-10|62903
92|F000000M1I|92|2014-06-10|62903
93|F000000M1M|93|2014-06-10|62903
94|F000000M1S|94|2014-06-10|62903
95|F000000M1X|95|2014-06-10|62903
96|F000000M21|96|2014-06-10|62903
97|F000000M26|97|2014-06-10|62903
98|F000000M2A|98|2014-06-10|62903
99|F000000M2E|99|2014-06-10|62903
100|F000000M2I|100|2014-06-10|62903
101|F000000LWQ|101|2014-06-10|62903
102|F000000LZ2|102|2014-06-10|62903
103|F000000M18|103|2014-06-10|62903
104|F000000M3Y|104|2014-06-10|62903
105|F000000M67|105|2014-06-10|62903
106|F000000M96|106|2014-06-10|62903
107|F000000MC0|107|2014-06-10|62903
108|F000000MEF|108|2014-06-10|62903
109|F000000MGM|109|2014-06-10|62903
110|F000000MJ8|110|2014-06-10|62903
111|F000000MLF|111|2014-06-10|62903
112|F000000MNK|112|2014-06-10|62903
113|F000000MQ1|113|2014-06-10|62903
114|F000000MS8|114|2014-06-10|62903
115|F000000MUK|115|2014-06-10|62903
116|F000000MWS|116|2014-06-10|62903
117|F000000MY8|117|2014-06-10|62903
118|F000000MZE|118|2014-06-10|62903
119|F000000N0I|119|2014-06-10|62903
120|F000000N1N|120|2014-06-10|62903
121|F000000N37|121|2014-06-10|62903
122|F000000N4E|122|2014-06-10|62903
123|F000000N5M|123|2014-06-10|62903
124|F000000N73|124|2014-06-10|62903
125|F000000N8B|125|2014-06-10|62903
126|F000000N9K|126|2014-06-10|62903
127|F000000NAQ|127|2014-06-10|62903
128|F000000NBW|128|2014-06-10|62903
129|F000000ND7|129|2014-06-10|62903
130|F000000NEK|130|2014-06-10|62903
131|F000000NFM|131|2014-06-10|62903
132|F000000NGQ|132|2014-06-10|62903
133|F000000NHJ|133|2014-06-10|62903
134|F000000NI1|134|2014-06-10|62903
135|F000000NIX|135|2014-06-10|62903
136|F000000NJH|136|2014-06-10|62903
137|F000000NK3|137|2014-06-10|62903
138|F000000NKK|138|2014-06-10|62903
139|F000000NL8|139|2014-06-10|62903
140|F000000NLU|140|2014-06-10|62903
141|F000000NMH|141|2014-06-10|62903
142|F000000NN8|142|2014-06-10|62903
143|F000000NNU|143|2014-06-10|62903
144|F000000NOQ|144|2014-06-10|62903
145|F000000NPD|145|2014-06-10|62903
146|F000000NPV|146|2014-06-10|62903
147|F000001129|147|2014-06-10|62903
148|F000001WQV|148|2014-06-10|62903
149|F000001WRF|149|2014-06-10|62903
150|F000001WRZ|150|2014-06-10|62903
151|F000000M55|151|2014-06-10|62903
152|F000000MFJ|152|2014-06-10|62903
153|F000000MOR|153|2014-06-10|62903
154|F000000MXR|154|2014-06-10|62903
155|F000000N2E|155|2014-06-10|62903
156|F000000N7P|156|2014-06-10|62903
157|F000000NCH|157|2014-06-10|62903
158|F000000NHB|158|2014-06-10|62903
159|F000000NJV|159|2014-06-10|62903
160|F000000NM6|160|2014-06-10|62903
161|F000000NP5|161|2014-06-10|62903
162|F000001WR7|162|2014-06-10|62903
163|F000001WTG|163|2014-06-10|62903
164|F000001WW1|164|2014-06-10|62903
165|F000001WY6|165|2014-06-10|62903
166|F0000023FB|166|2014-06-10|62903
167|F0000027CI|167|2014-06-10|62903
168|F000002HE6|168|2014-06-10|62903
169|F000002JW2|169|2014-06-10|62903
170|F000002QJQ|170|2014-06-10|62903
171|F000002XBA|171|2014-06-10|62903
172|F000003VSJ|172|2014-06-10|62903
173|F000003YLL|173|2014-06-10|62903
174|F000004066|174|2014-06-10|62903
175|F0000043P4|175|2014-06-10|62903
176|F00000460G|176|2014-06-10|62903
177|F000005GEL|177|2014-06-10|62903
178|F000005HQK|178|2014-06-10|62903
179|F000005K6K|179|2014-06-10|62903
180|F000005OHH|180|2014-06-10|62903
181|F00000GVI9|181|2014-06-10|62903
182|F00000GX06|182|2014-06-10|62903
183|F00000H122|183|2014-06-10|62903
184|F00000H4UH|184|2014-06-10|62903
185|F00000H6HV|185|2014-06-10|62903
186|F00000IRP0|186|2014-06-10|62903
187|F00000ITY4|187|2014-06-10|62903
188|F00000J462|188|2014-06-10|62903
189|F00000J87W|189|2014-06-10|62903
190|F00000J8HV|190|2014-06-10|62903
