_CurrencyCode|text|HoldingDetail_Id|LocalMarketValue_Id|DataEffectiveDT|DataObjectInstanceVersionKey
NZD||599|1|2014-06-10|62903
USD||600|2|2014-06-10|62903
AUD||601|3|2014-06-10|62903
EUR||602|4|2014-06-10|62903
CAD||603|5|2014-06-10|62903
NOK||604|6|2014-06-10|62903
GBP||618|7|2014-06-10|62903
EUR||620|8|2014-06-10|62903
USD||621|9|2014-06-10|62903
AUD||624|10|2014-06-10|62903
EUR||625|11|2014-06-10|62903
CAD||627|12|2014-06-10|62903
USD||629|13|2014-06-10|62903
USD||630|14|2014-06-10|62903
EUR||631|15|2014-06-10|62903
SEK||632|16|2014-06-10|62903
EUR||633|17|2014-06-10|62903
JPY||634|18|2014-06-10|62903
EUR||635|19|2014-06-10|62903
JPY||637|20|2014-06-10|62903
CAD||639|21|2014-06-10|62903
USD||641|22|2014-06-10|62903
MXN||642|23|2014-06-10|62903
USD||643|24|2014-06-10|62903
EUR||644|25|2014-06-10|62903
USD||646|26|2014-06-10|62903
JPY||647|27|2014-06-10|62903
NZD||648|28|2014-06-10|62903
NOK||649|29|2014-06-10|62903
USD||650|30|2014-06-10|62903
EUR||652|31|2014-06-10|62903
EUR||655|32|2014-06-10|62903
EUR||656|33|2014-06-10|62903
USD||657|34|2014-06-10|62903
USD||658|35|2014-06-10|62903
USD||659|36|2014-06-10|62903
EUR||661|37|2014-06-10|62903
USD||662|38|2014-06-10|62903
USD||663|39|2014-06-10|62903
USD||664|40|2014-06-10|62903
EUR||665|41|2014-06-10|62903
PLN||666|42|2014-06-10|62903
USD||667|43|2014-06-10|62903
USD||668|44|2014-06-10|62903
EUR||669|45|2014-06-10|62903
EUR||670|46|2014-06-10|62903
USD||672|47|2014-06-10|62903
USD||673|48|2014-06-10|62903
USD||674|49|2014-06-10|62903
USD||675|50|2014-06-10|62903
JPY||676|51|2014-06-10|62903
USD||677|52|2014-06-10|62903
USD||678|53|2014-06-10|62903
USD||679|54|2014-06-10|62903
USD||680|55|2014-06-10|62903
EUR||681|56|2014-06-10|62903
USD||682|57|2014-06-10|62903
EUR||683|58|2014-06-10|62903
USD||684|59|2014-06-10|62903
USD||685|60|2014-06-10|62903
USD||686|61|2014-06-10|62903
USD||687|62|2014-06-10|62903
USD||688|63|2014-06-10|62903
USD||689|64|2014-06-10|62903
USD||690|65|2014-06-10|62903
EUR||691|66|2014-06-10|62903
EUR||692|67|2014-06-10|62903
EUR||693|68|2014-06-10|62903
EUR||694|69|2014-06-10|62903
USD||695|70|2014-06-10|62903
USD||696|71|2014-06-10|62903
EUR||697|72|2014-06-10|62903
USD||698|73|2014-06-10|62903
USD||699|74|2014-06-10|62903
EUR||700|75|2014-06-10|62903
USD||701|76|2014-06-10|62903
EUR||702|77|2014-06-10|62903
EUR||703|78|2014-06-10|62903
USD||704|79|2014-06-10|62903
EUR||705|80|2014-06-10|62903
EUR||706|81|2014-06-10|62903
USD||707|82|2014-06-10|62903
USD||708|83|2014-06-10|62903
EUR||709|84|2014-06-10|62903
USD||710|85|2014-06-10|62903
USD||711|86|2014-06-10|62903
USD||712|87|2014-06-10|62903
EUR||713|88|2014-06-10|62903
EUR||714|89|2014-06-10|62903
USD||715|90|2014-06-10|62903
USD||716|91|2014-06-10|62903
USD||718|92|2014-06-10|62903
USD||719|93|2014-06-10|62903
USD||720|94|2014-06-10|62903
USD||721|95|2014-06-10|62903
USD||722|96|2014-06-10|62903
USD||723|97|2014-06-10|62903
USD||724|98|2014-06-10|62903
EUR||725|99|2014-06-10|62903
USD||726|100|2014-06-10|62903
USD||727|101|2014-06-10|62903
USD||728|102|2014-06-10|62903
USD||729|103|2014-06-10|62903
USD||730|104|2014-06-10|62903
USD||731|105|2014-06-10|62903
USD||732|106|2014-06-10|62903
USD||733|107|2014-06-10|62903
USD||734|108|2014-06-10|62903
USD||735|109|2014-06-10|62903
USD||736|110|2014-06-10|62903
USD||737|111|2014-06-10|62903
USD||738|112|2014-06-10|62903
USD||739|113|2014-06-10|62903
USD||740|114|2014-06-10|62903
USD||741|115|2014-06-10|62903
USD||742|116|2014-06-10|62903
USD||743|117|2014-06-10|62903
EUR||745|118|2014-06-10|62903
EUR||746|119|2014-06-10|62903
USD||747|120|2014-06-10|62903
USD||748|121|2014-06-10|62903
MYR||749|122|2014-06-10|62903
USD||750|123|2014-06-10|62903
USD||751|124|2014-06-10|62903
USD||752|125|2014-06-10|62903
USD||754|126|2014-06-10|62903
USD||755|127|2014-06-10|62903
USD||756|128|2014-06-10|62903
USD||757|129|2014-06-10|62903
USD||758|130|2014-06-10|62903
USD||759|131|2014-06-10|62903
USD||760|132|2014-06-10|62903
USD||761|133|2014-06-10|62903
USD||762|134|2014-06-10|62903
USD||763|135|2014-06-10|62903
USD||764|136|2014-06-10|62903
USD||765|137|2014-06-10|62903
USD||766|138|2014-06-10|62903
USD||767|139|2014-06-10|62903
USD||768|140|2014-06-10|62903
USD||769|141|2014-06-10|62903
USD||770|142|2014-06-10|62903
USD||771|143|2014-06-10|62903
USD||772|144|2014-06-10|62903
EUR||773|145|2014-06-10|62903
USD||774|146|2014-06-10|62903
USD||775|147|2014-06-10|62903
USD||776|148|2014-06-10|62903
USD||777|149|2014-06-10|62903
USD||778|150|2014-06-10|62903
USD||779|151|2014-06-10|62903
USD||780|152|2014-06-10|62903
