Operation_Id|FundShareClass_Id|PackageBody_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|1|1|2014-06-10|62903
2|2|1|2014-06-10|62903
3|3|1|2014-06-10|62903
4|4|1|2014-06-10|62903
5|5|1|2014-06-10|62903
6|6|1|2014-06-10|62903
7|7|1|2014-06-10|62903
8|8|1|2014-06-10|62903
9|9|1|2014-06-10|62903
10|10|1|2014-06-10|62903
11|11|1|2014-06-10|62903
12|12|1|2014-06-10|62903
13|13|1|2014-06-10|62903
14|14|1|2014-06-10|62903
15|15|1|2014-06-10|62903
16|16|1|2014-06-10|62903
17|17|1|2014-06-10|62903
18|18|1|2014-06-10|62903
19|19|1|2014-06-10|62903
20|20|1|2014-06-10|62903
21|21|1|2014-06-10|62903
22|22|1|2014-06-10|62903
23|23|1|2014-06-10|62903
24|24|1|2014-06-10|62903
25|25|1|2014-06-10|62903
26|26|1|2014-06-10|62903
27|27|1|2014-06-10|62903
28|28|1|2014-06-10|62903
29|29|1|2014-06-10|62903
30|30|1|2014-06-10|62903
31|31|1|2014-06-10|62903
32|32|1|2014-06-10|62903
33|33|1|2014-06-10|62903
34|34|1|2014-06-10|62903
35|35|1|2014-06-10|62903
36|36|1|2014-06-10|62903
37|37|1|2014-06-10|62903
38|38|1|2014-06-10|62903
39|39|1|2014-06-10|62903
40|40|1|2014-06-10|62903
41|41|1|2014-06-10|62903
42|42|1|2014-06-10|62903
43|43|1|2014-06-10|62903
44|44|1|2014-06-10|62903
45|45|1|2014-06-10|62903
46|46|1|2014-06-10|62903
47|47|1|2014-06-10|62903
48|48|1|2014-06-10|62903
49|49|1|2014-06-10|62903
50|50|1|2014-06-10|62903
51|51|1|2014-06-10|62903
52|52|1|2014-06-10|62903
53|53|1|2014-06-10|62903
54|54|1|2014-06-10|62903
55|55|1|2014-06-10|62903
56|56|1|2014-06-10|62903
57|57|1|2014-06-10|62903
58|58|1|2014-06-10|62903
59|59|1|2014-06-10|62903
60|60|1|2014-06-10|62903
61|61|1|2014-06-10|62903
62|62|1|2014-06-10|62903
63|63|1|2014-06-10|62903
64|64|1|2014-06-10|62903
65|65|1|2014-06-10|62903
66|66|1|2014-06-10|62903
67|67|1|2014-06-10|62903
68|68|1|2014-06-10|62903
69|69|1|2014-06-10|62903
70|70|1|2014-06-10|62903
71|71|1|2014-06-10|62903
72|72|1|2014-06-10|62903
73|73|1|2014-06-10|62903
74|74|1|2014-06-10|62903
75|75|1|2014-06-10|62903
76|76|1|2014-06-10|62903
77|77|1|2014-06-10|62903
78|78|1|2014-06-10|62903
79|79|1|2014-06-10|62903
80|80|1|2014-06-10|62903
81|81|1|2014-06-10|62903
82|82|1|2014-06-10|62903
83|83|1|2014-06-10|62903
84|84|1|2014-06-10|62903
85|85|1|2014-06-10|62903
86|86|1|2014-06-10|62903
87|87|1|2014-06-10|62903
88|88|1|2014-06-10|62903
89|89|1|2014-06-10|62903
90|90|1|2014-06-10|62903
91|91|1|2014-06-10|62903
92|92|1|2014-06-10|62903
