PortfolioSummary_Id|Date|Portfolio_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|2014-01-16|1|2014-06-10|62903
2|2013-12-02|2|2014-06-10|62903
3|2014-01-30|3|2014-06-10|62903
4|2014-01-27|4|2014-06-10|62903
5|2013-12-20|5|2014-06-10|62903
6|2013-12-10|6|2014-06-10|62903
7|2014-03-18|7|2014-06-10|62903
8|2013-08-12|8|2014-06-10|62903
9|2014-03-25|9|2014-06-10|62903
10|2013-04-01|10|2014-06-10|62903
11|2013-09-19|11|2014-06-10|62903
12|2014-01-24|12|2014-06-10|62903
13|2014-04-14|13|2014-06-10|62903
14|2013-11-18|14|2014-06-10|62903
15|2013-12-20|15|2014-06-10|62903
16|2013-12-05|16|2014-06-10|62903
17|2013-09-18|17|2014-06-10|62903
18|2014-01-06|18|2014-06-10|62903
19|2014-02-17|19|2014-06-10|62903
20|2014-04-15|20|2014-06-10|62903
21|2014-04-21|21|2014-06-10|62903
22|2013-06-17|22|2014-06-10|62903
23|2013-10-25|23|2014-06-10|62903
24|2013-10-25|24|2014-06-10|62903
25|2014-02-25|25|2014-06-10|62903
26|2013-09-20|26|2014-06-10|62903
27|2014-01-27|27|2014-06-10|62903
28|2014-01-15|28|2014-06-10|62903
29|2013-05-22|29|2014-06-10|62903
30|2013-12-16|30|2014-06-10|62903
31|2013-11-25|31|2014-06-10|62903
32|2013-11-20|32|2014-06-10|62903
33|2014-01-17|33|2014-06-10|62903
34|2014-03-17|34|2014-06-10|62903
35|2014-03-17|35|2014-06-10|62903
36|2014-04-21|36|2014-06-10|62903
37|2013-05-20|37|2014-06-10|62903
38|2013-11-25|38|2014-06-10|62903
39|2013-09-20|39|2014-06-10|62903
40|2013-08-19|40|2014-06-10|62903
41|2013-12-10|41|2014-06-10|62903
42|2014-02-17|42|2014-06-10|62903
43|2014-03-17|43|2014-06-10|62903
44|2014-03-24|44|2014-06-10|62903
45|2013-10-17|45|2014-06-10|62903
46|2014-03-20|46|2014-06-10|62903
47|2013-11-15|47|2014-06-10|62903
48|2013-10-25|48|2014-06-10|62903
49|2013-10-15|49|2014-06-10|62903
50|2013-12-09|50|2014-06-10|62903
51|2013-06-12|51|2014-06-10|62903
52|2013-12-02|52|2014-06-10|62903
53|2013-03-11|53|2014-06-10|62903
54|2014-02-26|54|2014-06-10|62903
55|2013-12-10|55|2014-06-10|62903
56|2013-11-11|56|2014-06-10|62903
57|2013-12-16|57|2014-06-10|62903
58|2013-12-02|58|2014-06-10|62903
59|2014-01-09|59|2014-06-10|62903
60|2013-12-16|60|2014-06-10|62903
61|2013-05-15|61|2014-06-10|62903
62|2013-12-16|62|2014-06-10|62903
63|2013-12-11|63|2014-06-10|62903
64|2013-07-16|64|2014-06-10|62903
65|2013-10-21|65|2014-06-10|62903
66|2013-09-30|66|2014-06-10|62903
67|2013-11-29|67|2014-06-10|62903
68|2013-09-30|68|2014-06-10|62903
69|2014-03-19|69|2014-06-10|62903
70|2013-12-16|70|2014-06-10|62903
71|2013-11-11|71|2014-06-10|62903
72|2013-11-20|72|2014-06-10|62903
73|2013-12-02|73|2014-06-10|62903
74|2013-11-25|74|2014-06-10|62903
75|2014-02-19|75|2014-06-10|62903
76|2014-02-25|76|2014-06-10|62903
77|2014-02-25|77|2014-06-10|62903
78|2014-02-21|78|2014-06-10|62903
79|2014-03-20|79|2014-06-10|62903
80|2014-03-17|80|2014-06-10|62903
81|2014-03-20|81|2014-06-10|62903
82|2013-12-10|82|2014-06-10|62903
83|2014-02-07|83|2014-06-10|62903
84|2013-07-16|84|2014-06-10|62903
85|2013-11-18|85|2014-06-10|62903
86|2014-03-17|86|2014-06-10|62903
87|2014-03-17|87|2014-06-10|62903
88|2013-10-21|88|2014-06-10|62903
89|2014-02-17|89|2014-06-10|62903
90|2013-11-05|90|2014-06-10|62903
91|2013-11-25|91|2014-06-10|62903
92|2013-10-23|92|2014-06-10|62903
93|2013-12-27|93|2014-06-10|62903
94|2013-06-07|94|2014-06-10|62903
95|2013-10-25|95|2014-06-10|62903
