Portfolio_Id|_CurrencyId|_ExternalId|PortfolioList_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|JPY|FSUSA0AHAB|1|2014-06-10|62903
2|JPY|FSUSA08IVS|2|2014-06-10|62903
3|JPY|FSUSA08K7W|3|2014-06-10|62903
4|JPY|FSUSA08K5Y|4|2014-06-10|62903
5|JPY|FSUSA08JQI|5|2014-06-10|62903
6|JPY|FSUSA08JDR|6|2014-06-10|62903
7|JPY|FSUSA0APV5|7|2014-06-10|62903
8|JPY|FSUSA0ANBO|8|2014-06-10|62903
9|JPY|FSUSA08JOI|9|2014-06-10|62903
10|JPY|FSUSA0AN60|10|2014-06-10|62903
11|JPY|FSUSA08JWW|11|2014-06-10|62903
12|JPY|FSUSA08JV0|12|2014-06-10|62903
13|JPY|FSUSA08VAS|13|2014-06-10|62903
14|JPY|FSUSA08VD0|14|2014-06-10|62903
15|JPY|FSUSA08VES|15|2014-06-10|62903
16|JPY|FSUSA09073|16|2014-06-10|62903
17|JPY|FSUSA0APKS|17|2014-06-10|62903
18|JPY|FSUSA0ALRS|18|2014-06-10|62903
19|JPY|FSUSA09P47|19|2014-06-10|62903
20|JPY|FSUSA09RPK|20|2014-06-10|62903
21|JPY|FSUSA09V9N|21|2014-06-10|62903
22|JPY|FSUSA0A2N8|22|2014-06-10|62903
23|JPY|FSUSA0A3TR|23|2014-06-10|62903
24|JPY|FSUSA0A467|24|2014-06-10|62903
25|JPY|FSUSA0A6Z8|25|2014-06-10|62903
26|JPY|FSUSA0A82L|26|2014-06-10|62903
27|JPY|FSUSA0A9CW|27|2014-06-10|62903
28|JPY|FSUSA0AEYE|28|2014-06-10|62903
29|JPY|FSUSA0AGID|29|2014-06-10|62903
30|JPY|FSUSA0AI9O|30|2014-06-10|62903
31|JPY|FSUSA0AN0X|31|2014-06-10|62903
32|JPY|FSUSA0ANYC|32|2014-06-10|62903
33|JPY|FSUSA0AP3F|33|2014-06-10|62903
34|JPY|FSUSA0ARPF|34|2014-06-10|62903
35|JPY|FSUSA0ASQ2|35|2014-06-10|62903
36|JPY|FSUSA0AUTJ|36|2014-06-10|62903
37|JPY|FSUSA0AW67|37|2014-06-10|62903
38|JPY|FSUSA0AXWQ|38|2014-06-10|62903
39|JPY|FSUSA0AZ6E|39|2014-06-10|62903
40|JPY|FSUSA0AZN3|40|2014-06-10|62903
41|JPY|FSUSA0B00I|41|2014-06-10|62903
42|JPY|FSUSA0B180|42|2014-06-10|62903
43|JPY|FSUSA0B2GY|43|2014-06-10|62903
44|JPY|FSUSA0B2X4|44|2014-06-10|62903
45|JPY|FSUSA0B3SY|45|2014-06-10|62903
46|JPY|FSUSA0B4F6|46|2014-06-10|62903
47|JPY|FSUSA0B51D|47|2014-06-10|62903
48|JPY|FSUSA0B5UK|48|2014-06-10|62903
49|JPY|FSUSA0B654|49|2014-06-10|62903
50|JPY|FSUSA0B7IA|50|2014-06-10|62903
51|JPY|FSUSA08K4U|51|2014-06-10|62903
52|JPY|FSUSA0AH2J|52|2014-06-10|62903
53|JPY|FSUSA08J3B|53|2014-06-10|62903
54|JPY|FSUSA08J4Y|54|2014-06-10|62903
55|JPY|FSUSA0AKE4|55|2014-06-10|62903
56|JPY|FSUSA0AH5B|56|2014-06-10|62903
57|JPY|FSUSA08K75|57|2014-06-10|62903
58|JPY|FSUSA08K78|58|2014-06-10|62903
59|JPY|FSUSA08K8I|59|2014-06-10|62903
60|JPY|FSUSA08K73|60|2014-06-10|62903
61|JPY|FSUSA08JAL|61|2014-06-10|62903
62|JPY|FSUSA08KA1|62|2014-06-10|62903
63|JPY|FSUSA08JAS|63|2014-06-10|62903
64|JPY|FSUSA08KB0|64|2014-06-10|62903
65|JPY|FSUSA08KBH|65|2014-06-10|62903
66|JPY|FSUSA0ANA9|66|2014-06-10|62903
67|JPY|FSUSA08K19|67|2014-06-10|62903
68|JPY|FSUSA0AH90|68|2014-06-10|62903
69|JPY|FSUSA08K1O|69|2014-06-10|62903
70|JPY|FSUSA08K11|70|2014-06-10|62903
71|JPY|FSUSA08K2M|71|2014-06-10|62903
72|JPY|FSUSA08K5N|72|2014-06-10|62903
73|JPY|FSUSA08K6E|73|2014-06-10|62903
74|JPY|FSUSA08KAE|74|2014-06-10|62903
75|JPY|FSUSA08J70|75|2014-06-10|62903
76|JPY|FSUSA08J61|76|2014-06-10|62903
77|JPY|FSUSA08J60|77|2014-06-10|62903
78|JPY|FSUSA08J6M|78|2014-06-10|62903
79|JPY|FSUSA08J6H|79|2014-06-10|62903
80|JPY|FSUSA08J6K|80|2014-06-10|62903
81|JPY|FSUSA0AHA1|81|2014-06-10|62903
82|JPY|FSUSA0AOM8|82|2014-06-10|62903
83|JPY|FSUSA08J65|83|2014-06-10|62903
84|JPY|F000000M09|84|2014-06-10|62903
85|JPY|FSUSA08J5E|85|2014-06-10|62903
86|JPY|FSUSA08J42|86|2014-06-10|62903
87|JPY|FSUSA0AI3G|87|2014-06-10|62903
88|JPY|FSUSA08JZA|88|2014-06-10|62903
89|JPY|FSUSA0AP2Y|89|2014-06-10|62903
90|JPY|FSUSA08J20|90|2014-06-10|62903
91|JPY|FSUSA08J2M|91|2014-06-10|62903
92|JPY|FSUSA08ISQ|92|2014-06-10|62903
93|JPY|FSUSA08ISK|93|2014-06-10|62903
94|JPY|FSUSA0AG2D|94|2014-06-10|62903
95|JPY|FSUSA0AOHI|95|2014-06-10|62903
96|JPY|FSUSA08J8M|96|2014-06-10|62903
97|JPY|FSUSA0AOUN|97|2014-06-10|62903
98|JPY|FSUSA08J92|98|2014-06-10|62903
99|JPY|FSUSA08J9X|99|2014-06-10|62903
100|JPY|FSUSA0AOTK|100|2014-06-10|62903
101|JPY|FSUSA08K6J|101|2014-06-10|62903
