ShareClassBasics_Id|Name|LegalType|CUSIP|Ticker|Operation_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|DIAM J-REIT Open D1M|FO|||1|2014-06-10|62903
2|Daiwa DC Foreign Bond Index|FO|||2|2014-06-10|62903
3|SMAM Japan Bond|FO|||3|2014-06-10|62903
4|SJNK Turkey Equity Open|FO|||4|2014-06-10|62903
5|Nissay DC Dome Bond Active|FO|||5|2014-06-10|62903
6|Kokusai World REIT Open|FO|||6|2014-06-10|62903
7|Shinko Idx Management 225 DC|FO|||7|2014-06-10|62903
8|MUFJ Foreign Bond Open DC|FO|||8|2014-06-10|62903
9|Nikko Glbl Wrap N America Stk|FO|||9|2014-06-10|62903
10|Nomura DC JP Bd Idx N-BPI|FO|||10|2014-06-10|62903
11|Nomura Shrt-Term Rates Link Stable|FO|||11|2014-06-10|62903
12|Nomura Japan Bond DC|FO|||12|2014-06-10|62903
13|DIAM Asia Consumption & Infra Eq|FO|||13|2014-06-10|62903
14|Nikko Index Fund Emerg Equity|FO|||14|2014-06-10|62903
15|Shinsei World Equity Div|FO|||15|2014-06-10|62903
16|MUFJ Commodity|FO|||16|2014-06-10|62903
17|HSBC Brazil Bond Open D1Y|FO|||17|2014-06-10|62903
18|Nikko AMP Glbl REIT A|FO|||18|2014-06-10|62903
19|JPM Emerging Lcl Ccy Sovereign SMA|FO|||19|2014-06-10|62903
20|Manulife Canada Equity|FO|||20|2014-06-10|62903
21|MUFJ Emerging Bond Ccy Sel TRL D1M|FO|||21|2014-06-10|62903
22|Rakuten Japan Equity Triple Bear|FO|||22|2014-06-10|62903
23|UBS Wld Public Infra Bd Ccy Sel ZAR D1M|FO|||23|2014-06-10|62903
24|Nomura Oil Future Fund ZAR D1M|FO|||24|2014-06-10|62903
25|Nomura PIMCO US High Yield Bond AUD D1M|FO|||25|2014-06-10|62903
26|BNP PB Sel Long Short Momentum F Eurp|FO|||26|2014-06-10|62903
27|MUFJ eMAXIS Developed Country Equity Idx|FO|||27|2014-06-10|62903
28|MHAM Life Plan Fund Stable|FO|||28|2014-06-10|62903
29|Kokusai Asia Real Estate Related Eq Op|FO|||29|2014-06-10|62903
30|Deutsche Global REIT Fund BRL D1M|FO|||30|2014-06-10|62903
31|SMTAM Foreign Bond Index Hedged SMA|FO|||31|2014-06-10|62903
32|SMTAM PIMCO US High Yield Bd Ccy Sel JPY|FO|||32|2014-06-10|62903
33|Nikko World Standard Bond Fund|FO|||33|2014-06-10|62903
34|Kokusai World IG Bd Open Ccy Sel JPY D1M|FO|||34|2014-06-10|62903
35|Nomura Global HY Bd Res Countrs Ccy D1M|FO|||35|2014-06-10|62903
36|MUFJ Emerging Bond Ccy Sel CNY D1M|FO|||36|2014-06-10|62903
37|Daiwa FE Global Value Equity Fund SMA|FO|||37|2014-06-10|62903
38|Deutsche Europe H/Y Bond Fd ZAR D1M|FO|||38|2014-06-10|62903
39|Nomura Global CB Asia Ccy D1M|FO|||39|2014-06-10|62903
40|Nomura Foreign Bond Active Fund B SMA|FO|||40|2014-06-10|62903
41|CAM CAM Vietnam Fund|FO|||41|2014-06-10|62903
42|Rakuten US REIT Triple Engine BRL D1M|FO|||42|2014-06-10|62903
43|Okasan World REIT Open|FO|||43|2014-06-10|62903
44|SMAM Asia High Growth Country CB Fund|FO|||44|2014-06-10|62903
45|Daiwa Dev Countrs Bd D1M|FO|||45|2014-06-10|62903
46|Nomura Deutsche Hi Div Infra Eq USD D2Y|FO|||46|2014-06-10|62903
47|MUFJ US H/Y Bond Ccy Sel JPY D1M|FO|||47|2014-06-10|62903
48|TMA J-REIT Ccy Select BRL D1M|FO|||48|2014-06-10|62903
49|Bansei New Zealand Fund|FO|||49|2014-06-10|62903
50|MHAM Emerging Bond Fund JPY|FO|||50|2014-06-10|62903
51|Shinsei American Dream|FO|||51|2014-06-10|62903
52|Bansei KURODA Active Japan|FO|||52|2014-06-10|62903
53|BNY Mellon Nomura Dynamic D1Y|FO|||53|2014-06-10|62903
54|SMTAM SRI Fund|FO|||54|2014-06-10|62903
55|SMTAM DC Japan Equity Index Fund A|FO|||55|2014-06-10|62903
56|SMAM DC Japan Stock 225|FO|||56|2014-06-10|62903
57|SMAM DC Domestic Bd Active|FO|||57|2014-06-10|62903
58|SMAM DC Intl Stock Idx S|FO|||58|2014-06-10|62903
59|SMAM New Glbl Balance|FO|||59|2014-06-10|62903
60|SMAM DC Balance Stable|FO|||60|2014-06-10|62903
61|Hitachi Domestic Stock Index|FO|||61|2014-06-10|62903
62|SMAM Technology Focus Open|FO|||62|2014-06-10|62903
63|ING International Bond Op|FO|||63|2014-06-10|62903
64|MYAM FukokuStk50Taiga DC|FO|||64|2014-06-10|62903
65|MYAM STAR VALUE FUND|FO|||65|2014-06-10|62903
66|SMTAM DC Japan Bond Index Open|FO|||66|2014-06-10|62903
67|SMTAM Japan Premium Select Fund|FO|||67|2014-06-10|62903
68|SMTAM DC My Selection S25|FO|||68|2014-06-10|62903
69|SMTAM World Double Hi Inc Odd Months Div|FO|||69|2014-06-10|62903
70|SMTAM Foreign Bond Open D3M|FO|||70|2014-06-10|62903
71|Shinkin World High Dividend Eq Fd D1M|FO|||71|2014-06-10|62903
72|Amundi China Stock Fund|FO|||72|2014-06-10|62903
73|State Street Intl Equity Index Open|FO|||73|2014-06-10|62903
74|UBS New Major Balance M|FO|||74|2014-06-10|62903
75|DIAM New Bluechip Selection|FO|||75|2014-06-10|62903
76|DIAM DC Balance70 Index|FO|||76|2014-06-10|62903
77|DIAM DC Balance50 Index|FO|||77|2014-06-10|62903
78|DIAM Intl Bond Index DC|FO|||78|2014-06-10|62903
79|DIAM Global Bond D|FO|||79|2014-06-10|62903
80|DIAM Japan Selection DC|FO|||80|2014-06-10|62903
81|DIAM Global Bond C|FO|||81|2014-06-10|62903
82|DIAM Global Bd D1M 3|FO|||82|2014-06-10|62903
83|DIAM Domestic Japan Equity Index Fund DC|FO|||83|2014-06-10|62903
84|SompoJapan Japan Stk|FO|||84|2014-06-10|62903
85|BNP AAA Sovereign|FO|||85|2014-06-10|62903
86|BlackRock Japan Equity Open|FO|||86|2014-06-10|62903
87|BlackRock World Bond (UH)|FO|||87|2014-06-10|62903
88|Pictet Glbl Balance Open|FO|||88|2014-06-10|62903
89|Pictet Euro Best Rating Bd D3M|FO|||89|2014-06-10|62903
90|PineBridge Japan Stock Open|FO|||90|2014-06-10|62903
91|Alliance B. Glbl Income Champ|FO|||91|2014-06-10|62903
92|GS US REIT Fund B D1M UnHedged|FO|||92|2014-06-10|62903
93|Goldman Sachs Japan Stock|FO|J1831D112||93|2014-06-10|62903
94|Goldman Sachs World Bond Open A DC|FO|||94|2014-06-10|62903
95|Deutsche Wld.Stk.IndexB|FO|||95|2014-06-10|62903
96|MUFG Fidelity RetirementP G|FO|||96|2014-06-10|62903
97|Fidelity US REIT B|FO|||97|2014-06-10|62903
98|Fidelity Global|FO|||98|2014-06-10|62903
99|Fidelity World High Dividend Equity Fund|FO|||99|2014-06-10|62903
100|Fidelity Japan Open DC|FO|||100|2014-06-10|62903
101|SMAM 225 Open|FO|||101|2014-06-10|62903
102|TMA Future Plan 5|FO|||102|2014-06-10|62903
103|PineBridge World Gov Bond Inc Op D1M|FO|||103|2014-06-10|62903
104|DaiwaSB/SMBC Japan Growth|FO|||104|2014-06-10|62903
105|Nippon Index 10 Finance|FO|||105|2014-06-10|62903
106|Daiwa World 7 Asset Mix Growth|FO|||106|2014-06-10|62903
107|MUFJ Prime Balance Stable Growth DC|FO|||107|2014-06-10|62903
108|Nikko Sekaino-Saifu|FO|||108|2014-06-10|62903
109|Nomura China Open|FO|||109|2014-06-10|62903
110|Sparx Japan Stock Long Short|FO|||110|2014-06-10|62903
111|SMAM Dividend Focus Open|FO|||111|2014-06-10|62903
112|SMTAM DC Target Year Fund 2015|FO|||112|2014-06-10|62903
113|LM Euro Alpha B|FO|||113|2014-06-10|62903
114|DIAM Global Active Balance|FO|||114|2014-06-10|62903
115|Pictet Income Alpha Monthly|FO|||115|2014-06-10|62903
116|Deutsche Growing Angel|FO|||116|2014-06-10|62903
117|Fidelity EMEA 3M|FO|||117|2014-06-10|62903
118|Nissay/Putnam Income Open|FO|||118|2014-06-10|62903
119|DaiwaSB DC Planning 50|FO|||119|2014-06-10|62903
120|Aberdeen Japan Open|FO|||120|2014-06-10|62903
121|JPM BRICS FIVE Portfolio SMA|FO|||121|2014-06-10|62903
122|MYAM Global Income Plus|FO|||122|2014-06-10|62903
123|T&D World Inflation Linked Bond Fund|FO|||123|2014-06-10|62903
124|MHAM Life Navigation 2040|FO|||124|2014-06-10|62903
125|MHAM HOKUTO High Dividend Global Eq Op|FO|||125|2014-06-10|62903
126|Shinko Glbl Warming D3M|FO|||126|2014-06-10|62903
127|Daiwa Best Party North Amer Equity|FO|||127|2014-06-10|62903
128|Daiwa Million Bond Mixed|FO|||128|2014-06-10|62903
129|Daiwa World Bond SMA|FO|||129|2014-06-10|62903
130|MUFJ Japan Equity Open Value 55|FO|||130|2014-06-10|62903
131|MUFJ Domestic Balance 20|FO|||131|2014-06-10|62903
